,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
432,DATAPATTNS,EQ,1161.0,1181.25,1116.15,1133.8,1128.0,1160.75,159480,184778278.85,12-SEP-2022,10285,INE0IX101010
433,DBCORP,EQ,109.45,113.7,109.0,112.9,113.0,110.05,539263,60231588.5,12-SEP-2022,5683,INE950I01011
434,DBL,EQ,244.0,256.5,244.0,248.5,248.3,241.95,1256012,315724127.85,12-SEP-2022,15424,INE917M01012
437,DBSTOCKBRO,EQ,24.95,26.55,22.1,26.1,26.55,24.15,50278,1274680.2,12-SEP-2022,453,INE921B01025
438,DCAL,EQ,117.6,119.6,114.6,115.05,115.8,117.45,637783,74018839.3,12-SEP-2022,9187,INE385W01011
439,DCBBANK,EQ,104.45,105.75,103.25,104.6,104.7,103.35,2289899,239554115.45,12-SEP-2022,13798,INE503A01015
441,DCM,EQ,82.2,88.6,82.0,88.6,88.6,80.55,584129,50585152.9,12-SEP-2022,4485,INE498A01018
442,DCMFINSERV,EQ,7.75,7.75,7.75,7.75,7.75,7.4,10344,80166.0,12-SEP-2022,7,INE891B01012
443,DCMNVL,EQ,195.95,204.7,194.3,203.4,202.25,192.9,211891,42702617.15,12-SEP-2022,3440,INE08KP01019
444,DCMSHRIRAM,EQ,1079.9,1094.5,1072.9,1084.3,1080.0,1066.75,61710,66912641.55,12-SEP-2022,5013,INE499A01024
445,DCMSRIND,EQ,87.5,90.45,83.45,84.95,85.95,86.9,484770,42123269.3,12-SEP-2022,4525,INE843D01027
446,DCW,EQ,51.1,54.85,50.8,54.35,54.55,50.65,8380790,447818746.05,12-SEP-2022,24769,INE500A01029
447,DECCANCE,EQ,561.95,561.95,545.4,552.75,554.05,554.55,22065,12186099.5,12-SEP-2022,1619,INE583C01021
448,DEEPAKFERT,EQ,862.7,897.1,846.15,897.1,897.1,854.4,712778,625391925.15,12-SEP-2022,21972,INE501A01019
449,DEEPAKNTR,EQ,2054.9,2185.0,2045.0,2178.4,2184.8,2044.75,2686496,5762396585.35,12-SEP-2022,110168,INE288B01029
450,DEEPENR,EQ,97.9,105.9,96.55,105.9,105.9,96.3,179098,18506694.7,12-SEP-2022,1933,INE677H01012
451,DEEPINDS,EQ,222.95,239.0,222.75,236.4,236.15,220.8,133190,31135049.05,12-SEP-2022,3271,INE0FHS01016
452,DELHIVERY,EQ,571.0,583.5,568.05,572.8,573.5,568.5,189845,109369719.6,12-SEP-2022,6093,INE148O01028
453,DELPHIFX,EQ,415.6,433.4,415.6,430.9,432.0,417.5,1814,774538.75,12-SEP-2022,186,INE726L01019
454,DELTACORP,EQ,209.45,210.4,209.0,209.45,209.7,208.75,1111386,233157307.0,12-SEP-2022,10179,INE124G01033
455,DELTAMAGNT,EQ,72.8,77.0,72.8,75.75,75.7,74.2,7178,543575.45,12-SEP-2022,146,INE393A01011
456,DEN,EQ,36.75,36.85,36.4,36.6,36.65,36.5,600314,21993212.0,12-SEP-2022,1875,INE947J01015
457,DENORA,EQ,808.8,831.2,778.0,831.2,831.2,791.65,26563,21781670.7,12-SEP-2022,932,INE244A01016
459,DEVIT,EQ,219.8,224.7,195.4,206.25,205.0,217.1,47495,10103117.15,12-SEP-2022,867,INE060X01018
460,DEVYANI,EQ,194.0,194.7,191.5,192.65,192.85,192.8,1530853,295303110.6,12-SEP-2022,19500,INE872J01023
461,DFMFOODS,EQ,362.4,365.0,360.55,364.1,364.35,360.6,99650,36246409.25,12-SEP-2022,1511,INE456C01020
462,DGCONTENT,EQ,17.3,17.8,15.2,16.5,16.7,16.75,15999,262788.2,12-SEP-2022,175,INE03JI01017
463,DHAMPURSUG,EQ,236.8,238.7,232.55,235.0,235.0,234.95,197910,46527416.8,12-SEP-2022,3465,INE041A01016
464,DHANBANK,EQ,12.5,12.6,12.45,12.5,12.5,12.45,394971,4939340.4,12-SEP-2022,550,INE680A01011
465,DHANI,EQ,63.2,63.4,59.05,59.1,59.2,62.15,2635755,158883315.55,12-SEP-2022,19289,INE274G01010
472,DHANUKA,EQ,724.65,729.75,713.0,715.75,718.15,721.0,26917,19312225.5,12-SEP-2022,3487,INE435G01025
473,DHARAMSI,EQ,384.0,402.5,370.5,385.05,385.0,379.5,36182,14076754.35,12-SEP-2022,1535,INE505A01010
475,DHRUV,EQ,60.7,64.8,60.0,62.4,62.45,59.8,53197,3298545.9,12-SEP-2022,759,INE506Z01015
476,DHUNINV,EQ,699.75,707.3,686.0,694.75,694.25,695.25,3236,2249528.8,12-SEP-2022,379,INE320L01011
